iter	Precision	Logloss
0	0.6323986137	0.6792685426
1	0.627234152	0.6674191933
2	0.6262057192	0.6573001403
3	0.6379722198	0.6486697687
4	0.6459268169	0.6427864092
5	0.6485118633	0.6371671927
6	0.6524566143	0.6298831889
7	0.6539143884	0.6234640048
8	0.6584855922	0.6191886528
9	0.6611397076	0.6151150158
10	0.6618508927	0.6101161153
11	0.6641595964	0.6059402044
12	0.6647878288	0.6023020487
13	0.6662566065	0.5985039712
14	0.6655122129	0.5957148565
15	0.6681214683	0.5925404919
16	0.6687023602	0.5899304572
17	0.6690446792	0.5878720503
18	0.6696178724	0.5854541276
19	0.6692128253	0.5838162513
20	0.6689152233	0.5820498887
21	0.6695798625	0.5806184485
22	0.668849477	0.5789529142
23	0.6707162285	0.5751306105
24	0.6725256896	0.5734862444
25	0.6762466778	0.5697590852
26	0.6782260604	0.5660699079
27	0.681075975	0.5632756719
28	0.6824776535	0.5603932467
29	0.6834087549	0.5581533693
30	0.6849364141	0.5554307749
31	0.6843494208	0.5553400511
32	0.6847427293	0.5531888928
33	0.6859080162	0.5507575252
34	0.6859217031	0.5491434929
35	0.6870872747	0.5477155566
36	0.6874359317	0.5460908691
37	0.6881044703	0.5444672609
38	0.6883047449	0.5436521551
39	0.6881811307	0.5423058107
40	0.6891699323	0.5406093534
41	0.6898300561	0.5387067496
42	0.6904910158	0.537878837
43	0.6908163265	0.5362179388
44	0.6914714235	0.5354992114
45	0.6920927757	0.5344728805
46	0.692194992	0.5336757514
47	0.692194992	0.5327577779
48	0.6923145111	0.5319579682
49	0.6932724694	0.5306168036
50	0.6936398264	0.52986204
51	0.6937212186	0.5289507694
52	0.6937411473	0.5289167326
53	0.6949535193	0.52745214
54	0.6947824933	0.5274490358
55	0.6943044132	0.5269713374
56	0.6946777473	0.5264364325
57	0.6950486295	0.525780086
58	0.6948238518	0.5252546135
59	0.6948778009	0.5249862694
60	0.6952486188	0.5240148313
61	0.6954525386	0.5233026964
62	0.6958958517	0.5229868425
63	0.696116034	0.522102769
64	0.696340388	0.5214379499
65	0.6965757349	0.5211539663
66	0.6964812613	0.520777909
67	0.696809681	0.5203204172
68	0.6966163594	0.519993643
69	0.6971988919	0.5193107354
70	0.6979166667	0.5184033852
71	0.6976560442	0.5179668811
72	0.6975509129	0.5176744726
73	0.6979898174	0.5174202946
74	0.6980999605	0.5168775854
75	0.6998945611	0.5154746144
76	0.6997806055	0.5151041108
77	0.6998289999	0.5148195387
78	0.6999868473	0.514385184
79	0.7001534078	0.5140919858
80	0.7006483834	0.5135329629
81	0.701213369	0.5129337851
82	0.7009591381	0.5126747669
83	0.7013328657	0.5124262399
84	0.7017805456	0.5120283094
85	0.701754386	0.5119338897
